step,loss,mean_score,median_score,std_score,max_score,min_score
181000,3.85,1.5,2.0,1.36,4.0,0.0
182000,3.84,1.7,2.0,1.79,6.0,0.0
183000,3.84,2.3,2.5,1.42,5.0,0.0
184000,3.84,1.8,1.0,2.04,5.0,0.0
185000,3.85,3.3,4.0,1.85,5.0,0.0
186000,3.84,0.8,0.0,0.98,2.0,0.0
187000,3.85,1.2,1.0,1.25,3.0,0.0
188000,3.84,2.4,2.5,1.02,4.0,0.0
189000,3.84,1.6,2.0,1.2,4.0,0.0
190000,3.84,2.5,2.5,0.5,3.0,2.0
191000,3.83,1.4,0.0,1.85,5.0,0.0
192000,3.84,2.1,2.0,1.92,5.0,0.0
193000,3.84,0.7,0.0,1.1,3.0,0.0
194000,3.84,1.5,2.0,1.28,3.0,0.0
195000,3.83,1.0,0.0,1.34,4.0,0.0
196000,3.84,2.1,2.0,1.37,5.0,0.0
197000,3.84,2.3,2.0,1.1,4.0,0.0
198000,3.84,1.8,2.0,1.89,6.0,0.0
199000,3.83,1.5,1.0,1.69,5.0,0.0
200000,3.84,2.1,2.0,1.64,5.0,0.0
201000,3.84,2.1,2.0,0.83,3.0,0.0
202000,3.82,1.5,1.0,1.63,4.0,0.0
203000,3.83,0.2,0.0,0.6,2.0,0.0
204000,3.83,2.0,0.0,2.68,6.0,0.0
205000,3.82,3.0,2.5,2.45,6.0,0.0
206000,3.83,1.9,2.0,1.04,3.0,0.0
207000,3.82,2.6,3.0,0.49,3.0,2.0
208000,3.84,2.6,3.5,1.85,5.0,0.0
209000,3.82,2.5,3.0,1.5,5.0,0.0
210000,3.83,1.7,2.0,1.49,4.0,0.0
211000,3.81,1.6,2.0,1.11,3.0,0.0
212000,3.82,1.4,0.0,1.96,5.0,0.0
213000,3.82,2.9,2.5,1.51,5.0,0.0
214000,3.82,2.1,2.0,1.22,4.0,0.0
215000,3.82,2.1,1.5,2.17,5.0,0.0
216000,3.82,2.1,2.0,1.37,5.0,0.0
217000,3.82,3.0,3.5,2.68,6.0,0.0
218000,3.82,1.3,0.0,1.79,5.0,0.0
219000,3.81,1.3,1.0,1.42,4.0,0.0
220000,3.83,2.4,2.0,0.49,3.0,2.0
221000,3.81,1.4,0.0,1.85,5.0,0.0
222000,3.82,0.9,0.0,1.14,3.0,0.0
223000,3.81,2.5,2.5,0.5,3.0,2.0
224000,3.81,1.8,2.0,0.98,3.0,0.0
225000,3.81,2.3,2.0,2.19,6.0,0.0
226000,3.81,1.7,1.0,1.9,5.0,0.0
227000,3.81,1.4,2.0,1.28,4.0,0.0
228000,3.82,1.3,2.0,1.1,3.0,0.0
229000,3.8,2.3,2.0,1.95,6.0,0.0
230000,3.81,0.8,0.0,1.66,5.0,0.0
231000,3.8,3.3,4.0,2.37,6.0,0.0
232000,3.81,1.0,0.0,1.26,3.0,0.0
233000,3.81,2.2,2.0,0.4,3.0,2.0
234000,3.81,1.1,0.0,1.45,4.0,0.0
235000,3.81,2.1,2.5,1.92,5.0,0.0
236000,3.81,2.2,2.0,0.4,3.0,2.0
237000,3.81,2.0,2.5,1.73,4.0,0.0
238000,3.81,2.2,2.0,1.4,5.0,0.0
239000,3.81,1.1,0.0,1.45,4.0,0.0
240000,3.8,2.3,3.0,1.95,5.0,0.0
241000,3.8,1.8,2.0,1.33,4.0,0.0
242000,3.8,1.1,1.0,1.14,3.0,0.0
243000,3.8,0.4,0.0,0.8,2.0,0.0
244000,3.8,0.0,0.0,0.0,0.0,0.0
245000,3.8,0.2,0.0,0.6,2.0,0.0
246000,3.8,2.7,2.5,0.78,4.0,2.0
247000,3.78,0.1,0.0,0.3,1.0,0.0
248000,3.79,1.8,2.0,1.72,5.0,0.0
249000,3.68,1.7,2.0,1.27,4.0,0.0
250000,3.8,1.8,2.0,0.6,2.0,0.0
